;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;µg;alfa-TE;mg
4.324;Kveite hellefisk, oppdrett, rå;74;429;2.4;81;0;0;20;3;2.7;0.9;0
4.325;Kveite hellefisk, uspesifisert, rå;73;474;4.3;66;0;0;18.5;10;6.2;1.3;0
4.326;Torsk, oppdrett, rå;79;359;0.5;82;0;0;20;2;0.7;0.5;0
4.327;Torsk, uspesifisert, rå;81;345;1;59;0;0;18.1;11;1.8;0.7;0
11.04;Morsmelkerstatning fra fødsel - drikkeklar;88;272;3.5;0;7;0.2;1.3;62;1.2;1;10
11.041;Tilskuddsblanding fra 6 mnd - drikkeklar;88;286;3.2;0;8.3;0.3;1.4;72;1.2;1;12
11.042;Morsmelkerstatning fra fødsel - pulver;3;2170;27.8;0;55.9;2;10.3;469;8.6;7.2;79
11.043;Tilskuddsblanding fra 6 mnd - pulver;3;2169;27.8;0;54.9;4;10.3;469;8.6;7.2;79
13.069;Espresso, enkel;98;9;0.2;0;0;0;0.1;0;0;0;0
13.039;Kaffe, Cappucino, enkel, med lettmelk;92;146;1;2;3.7;0;2.7;10;0;0;0
13.041;Kaffe, Caffe Latte, enkel, med lettmelk;91;163;1.1;3;4.2;0;3;11;0;0;0
13.038;Kaffe, Cappucino, enkel, med helmelk;90;216;2.9;8;3.7;0;2.7;28;0;0.1;0
13.04;Kaffe, Caffe Latte, enkel, med helmelk;89;239;3.2;9;4.1;0;3;31;0;0.1;0
5.336;Ris, hurtigris, 1% salt, kokt;78;370;0;0;19.6;0.4;2;0;0;0;0
5.337;Ris, Basmati, kokt;69;528;0.4;0;26.9;0.2;3.2;0;0;0;0
5.338;Ris, Jasmin,  kokt;69;524;0.2;0;27.8;0;2.6;0;0;0;0
3.357;Pølse, med ost, ostegrill, ostewiener;59;1019;19.3;49;5.1;0.9;12.4;25;0;1.1;29
3.361;Pølse, kylling og kalkun, med ost;65;836;14.1;77;4.6;1;13.4;37;0;1.6;0
3.358;Elg, stek, ovnstekt;65;604;1.8;112;0;0;31.6;2;0.5;0.9;0
9.13;Marsipan, 30 % mandler;8;1866;16.7;0;66.1;2.2;6.3;0;0;7.1;0
6.761;Syltetøy, uten tilsatt sukker, 60 % bær;72;92;0.2;0;3.6;1.9;0.5;1;0;0.8;19
6.762;Syltetøy, 40 % bær, 40 % sukker;47;744;0.2;0;42.4;1.3;0.3;1;0;0.5;13
6.763;Syltetøy, 60 % bær, 30 % sukker;57;602;0.2;0;33.6;1.9;0.5;1;0;0.8;19
1.235;Helmelk, 3,9 % fett;87;279;3.9;10;4.6;0;3.3;38;0;0.1;0
1.236;Helmelk, uspesifisert;88;268;3.6;10;4.6;0;3.3;35;0;0.1;0
11.038;Barnemat, middag, ris og kalkun/kylling, fra 12 mnd;80;360;2.8;11;10.1;1.2;4.4;67;0;0.9;4
11.039;Barnemat, middag, potet og oksekjøtt, fra 12 mnd;80;362;3.4;7;9.7;1.3;3.6;87;0;1.1;14
11.034;Barnemat, middag, pasta og oksekjøtt, fra 6 mnd;81;359;3.2;5;10.1;1.2;3.5;72;0;1;3
11.033;Barnemat, middag, potet og lam, fra 6 mnd;82;316;2.7;6;9.3;1.3;2.8;86;0;0.8;7
11.035;Barnemat, middag, pasta og skinke, fra 8 mnd;80;364;3;5;10.3;1.2;4;58;0;0.9;3
11.036;Barnemat, middag, potet og fiskeboller, fra 8 mnd;80;353;2.3;11;11.9;1.2;3.3;112;0.2;0.3;5
11.044;Barnemat, middag, pasta og oksekjøtt, fra 12 mnd;78;423;4.3;6;11;1.1;4;39;0;1.3;7
